INFO 2019-04-18 08:26:42,987 basehttp 124 "GET /register/ HTTP/1.1" 200 3866
WARNING 2019-04-18 08:26:43,004 base 152 Not Found: /register/images/logo.png
WARNING 2019-04-18 08:26:43,005 basehttp 124 "GET /register/images/logo.png HTTP/1.1" 404 2182
WARNING 2019-04-18 08:26:43,007 base 152 Not Found: /register/images/pic_code.jpg
WARNING 2019-04-18 08:26:43,008 basehttp 124 "GET /register/images/pic_code.jpg HTTP/1.1" 404 2194
WARNING 2019-04-18 08:26:43,012 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:26:43,015 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:27:45,794 basehttp 124 "GET /register/ HTTP/1.1" 200 3925
INFO 2019-04-18 08:27:45,821 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
WARNING 2019-04-18 08:27:45,824 base 152 Not Found: /register/images/pic_code.jpg
WARNING 2019-04-18 08:27:45,825 basehttp 124 "GET /register/images/pic_code.jpg HTTP/1.1" 404 2194
WARNING 2019-04-18 08:27:45,830 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:27:45,830 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:28:41,691 basehttp 124 "GET /register/ HTTP/1.1" 200 4622
INFO 2019-04-18 08:28:41,747 basehttp 124 "GET /static/images/pic_code.jpg HTTP/1.1" 200 4507
WARNING 2019-04-18 08:28:41,749 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:28:41,750 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
WARNING 2019-04-18 08:28:41,816 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:28:41,822 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:29:29,725 basehttp 124 "GET /register/ HTTP/1.1" 200 4622
WARNING 2019-04-18 08:29:29,751 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:29:29,752 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:29:33,185 basehttp 124 "GET /register/ HTTP/1.1" 200 4622
WARNING 2019-04-18 08:29:33,200 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:29:33,201 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:31:56,337 basehttp 124 "GET /register/ HTTP/1.1" 200 4622
WARNING 2019-04-18 08:31:56,365 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:31:56,366 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
WARNING 2019-04-18 08:31:56,448 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:31:56,449 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:33:59,227 basehttp 124 "GET /register/ HTTP/1.1" 200 4631
INFO 2019-04-18 08:33:59,276 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 15584
INFO 2019-04-18 08:34:02,300 basehttp 124 "GET /register/ HTTP/1.1" 200 4631
INFO 2019-04-18 08:34:25,953 basehttp 124 "GET /register/ HTTP/1.1" 200 4631
INFO 2019-04-18 08:34:32,047 basehttp 124 "GET /register/ HTTP/1.1" 200 4631
INFO 2019-04-18 08:34:42,229 basehttp 124 "GET /register/ HTTP/1.1" 200 4631
INFO 2019-04-18 08:34:49,702 basehttp 124 "GET /register/ HTTP/1.1" 200 4631
INFO 2019-04-18 08:36:23,644 basehttp 124 "GET /register/ HTTP/1.1" 200 4622
WARNING 2019-04-18 08:36:23,666 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:36:23,667 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
WARNING 2019-04-18 08:36:23,720 base 152 Not Found: /register/js/register.js
WARNING 2019-04-18 08:36:23,720 basehttp 124 "GET /register/js/register.js HTTP/1.1" 404 2179
INFO 2019-04-18 08:39:25,268 basehttp 124 "GET /register/ HTTP/1.1" 200 4638
INFO 2019-04-18 08:40:32,134 basehttp 124 "GET /register/ HTTP/1.1" 200 4638
INFO 2019-04-18 08:41:04,179 basehttp 124 "GET /register/ HTTP/1.1" 200 4638
INFO 2019-04-18 08:41:48,191 basehttp 124 "GET /register/ HTTP/1.1" 200 3855
INFO 2019-04-18 08:41:50,447 basehttp 124 "GET /register/ HTTP/1.1" 200 3855
INFO 2019-04-18 08:45:41,047 basehttp 124 "GET /register/ HTTP/1.1" 200 3369
WARNING 2019-04-18 08:45:41,297 base 152 Not Found: /register/js/host.js
WARNING 2019-04-18 08:45:41,297 basehttp 124 "GET /register/js/host.js HTTP/1.1" 404 2167
WARNING 2019-04-18 08:45:41,357 base 152 Not Found: /register/js/axios-0.18.0.min.js
WARNING 2019-04-18 08:45:41,362 base 152 Not Found: /register/js/common.js
WARNING 2019-04-18 08:45:41,364 basehttp 124 "GET /register/js/common.js HTTP/1.1" 404 2173
WARNING 2019-04-18 08:45:41,363 base 152 Not Found: /register/images/pic_code.jpg
WARNING 2019-04-18 08:45:41,365 basehttp 124 "GET /register/images/pic_code.jpg HTTP/1.1" 404 2194
WARNING 2019-04-18 08:45:41,364 base 152 Not Found: /register/js/vue-2.5.16.js
